Node,Degree Centrality,Degree Centrality Modified,Node,Closeness Centrality,Closeness Centrality Modified,Node,Betweenness Centrality,Betweenness Centrality Modified
P1-T020,0.875,0.8636363636363636,P1-T020,0.8888888888888888,0.8636363636363636,P1-T020,0.0,0.0
P1-T004,0.875,0.8636363636363636,P1-T004,0.8888888888888888,0.8636363636363636,P1-T004,0.0,0.0
P1-T061,0.875,0.8636363636363636,P1-T061,0.8888888888888888,0.8636363636363636,P1-T061,0.0,0.0
P1-T019,0.875,0.8636363636363636,P1-T019,0.8888888888888888,0.8636363636363636,P1-T019,0.0,0.0
P1-T025,0.875,0.8636363636363636,P1-T025,0.8888888888888888,0.8636363636363636,P1-T025,0.0,0.0
P1-T021,0.875,0.8636363636363636,P1-T021,0.8888888888888888,0.8636363636363636,P1-T021,0.0,0.0
P1-T001,0.875,0.8636363636363636,P1-T001,0.8888888888888888,0.8636363636363636,P1-T001,0.0,0.0
P1-T022,0.875,0.8636363636363636,P1-T022,0.8888888888888888,0.8636363636363636,P1-T022,0.0,0.0
P1-T008,0.875,0.8636363636363636,P1-T008,0.8888888888888888,0.8636363636363636,P1-T008,0.0,0.0
P1-T038,0.875,0.8636363636363636,P1-T038,0.8888888888888888,0.8636363636363636,P1-T038,0.0,0.0
P1-T023,0.875,0.8636363636363636,P1-T023,0.8888888888888888,0.8636363636363636,P1-T023,0.0,0.0
P1-T026,0.9583333333333331,0.8636363636363636,P1-T026,0.96,0.8636363636363636,P1-T026,0.1594202898550724,0.0
P1-T005,0.875,0.8636363636363636,P1-T005,0.8888888888888888,0.8636363636363636,P1-T005,0.0,0.0
P1-T041,0.9166666666666666,0.8636363636363636,P1-T041,0.9230769230769232,0.8636363636363636,P1-T041,0.0833333333333333,0.0
P1-T049,0.875,0.8636363636363636,P1-T049,0.8888888888888888,0.8636363636363636,P1-T049,0.0,0.0
P1-T079,0.875,0.8636363636363636,P1-T079,0.8888888888888888,0.8636363636363636,P1-T079,0.0,0.0
P1-T062,0.875,0.8636363636363636,P1-T062,0.8888888888888888,0.8636363636363636,P1-T062,0.0,0.0
P1-T081,0.875,0.8636363636363636,P1-T081,0.8888888888888888,0.8636363636363636,P1-T081,0.0,0.0
P1-T042,0.875,0.8636363636363636,P1-T042,0.8888888888888888,0.8636363636363636,P1-T042,0.0,0.0
P1-T037,0.875,0.8636363636363636,P1-T037,0.8888888888888888,0.8636363636363636,P1-T037,0.0,0.0
P1-T036,0.875,0.0,P1-T036,0.8888888888888888,0.0,P1-T036,0.0,0.0
P1-T035,0.875,0.0454545454545454,P1-T035,0.8888888888888888,0.0454545454545454,P1-T035,0.0,0.0
P1-T048,0.0416666666666666,0.0454545454545454,P1-T048,0.4897959183673469,0.0454545454545454,P1-T048,0.0,0.0
P1-T033,0.0833333333333333,,P1-T033,0.5106382978723404,,P1-T033,0.0,
P1-T057,0.0833333333333333,,P1-T057,0.5106382978723404,,P1-T057,0.0,
