Locations, fungal genotypes and tree genotypes associated with Rhizopogon vesiculosus and R. vinicolor tuberculate mycorrhizas described in:

Beiler, Kevin; Simard, Suzanne; Durall, Daniel. 2015 'Topology of tree-mycorrhizal fungus interaction networks in xeric and mesic Douglas-fir forests' Journal of Ecology

MS Reference Number: JEcol-2014-0405.R2


Plot	Site	SmpleID	GenetID	TreeID	UTM_X	UTM_Y
Plot 1	xeric	VES-001	VES-1-01	P1-T020	674396.55600	5636242.45500
Plot 1	xeric	VES-002	VES-1-01	P1-T004	674395.72400	5636242.30600
Plot 1	xeric	VES-003	VES-1-01	P1-T061	674395.23500	5636239.31200
Plot 1	xeric	VES-004	VES-1-01	P1-T019	674394.77500	5636239.08200
Plot 1	xeric	VES-005	VES-1-01	P1-T019	674394.55400	5636242.30900
Plot 1	xeric	VES-006	VES-1-01	P1-T020	674394.48700	5636240.99200
Plot 1	xeric	VES-007	VES-1-01	P1-T019	674394.52600	5636241.03100
Plot 1	xeric	VES-008	VES-1-01	P1-T020	674393.70300	5636242.21200
Plot 1	xeric	VES-009	VES-1-01	P1-T019	674393.32700	5636242.30200
Plot 1	xeric	VES-010	VES-1-01	P1-T025	674393.33800	5636242.63200
Plot 1	xeric	VES-011	VES-1-01	P1-T021	674393.81500	5636243.29300
Plot 1	xeric	VES-012	VES-1-01	P1-T001	674392.65300	5636240.17200
Plot 1	xeric	VES-013	VES-1-01	P1-T001	674393.50000	5636239.87400
Plot 1	xeric	VES-014	VES-1-01	P1-T001	674391.85100	5636242.33400
Plot 1	xeric	VES-015	VES-1-01	P1-T001	674392.20000	5636238.71400
Plot 1	xeric	VES-016	VES-1-01	P1-T022	674392.20400	5636238.71700
Plot 1	xeric	VES-017	VES-1-01	P1-T008	674392.28700	5636238.87500
Plot 1	xeric	VES-018	VES-1-01	P1-T025	674392.26900	5636238.87800
Plot 1	xeric	VES-019	VES-1-01	P1-T038	674391.17500	5636239.30200
Plot 1	xeric	VES-020	VES-1-01	P1-T023	674391.79800	5636240.83700
Plot 1	xeric	VES-021	VES-1-01	P1-T026	674390.30600	5636241.73100
Plot 1	xeric	VES-022	VES-1-01	P1-T021	674390.69100	5636241.72400
Plot 1	xeric	VES-023	VES-1-01	P1-T026	674389.85900	5636240.96300
Plot 1	xeric	VES-024	VES-1-01	P1-T023	674389.59200	5636240.80000
Plot 1	xeric	VES-025	VES-1-01	P1-T023	674389.53700	5636241.05500
Plot 1	xeric	VES-026	VES-1-01	P1-T005	674388.89500	5636242.68100
Plot 1	xeric	VES-027	VES-1-01	P1-T025	674388.87500	5636242.67400
Plot 1	xeric	VES-028	VES-1-01	P1-T025	674388.46400	5636242.61200
Plot 1	xeric	VES-029	VES-1-01	P1-T038	674389.70400	5636236.71700
Plot 1	xeric	VES-030	VES-1-01	P1-T061	674389.97300	5636234.66000
Plot 1	xeric	VES-031	VES-1-01	P1-T041	674389.69000	5636234.41200
Plot 1	xeric	VES-032	VES-1-01	P1-T049	674390.49000	5636232.95000
Plot 1	xeric	VES-033	VES-1-01	P1-T041	674389.56900	5636232.71000
Plot 1	xeric	VES-034	VES-1-01	P1-T041	674389.28400	5636232.72400
Plot 1	xeric	VES-035	VES-1-01	P1-T041	674389.21600	5636233.10200
Plot 1	xeric	VES-036	VES-1-01	P1-T079	674388.76600	5636233.09000
Plot 1	xeric	VES-037	VES-1-01	P1-T041	674388.28400	5636234.07700
Plot 1	xeric	VES-038	VES-1-01	P1-T041	674388.14700	5636234.31900
Plot 1	xeric	VES-039	VES-1-01	P1-T041	674387.87500	5636233.03000
Plot 1	xeric	VES-040	VES-1-01	P1-T038	674387.85500	5636233.23600
Plot 1	xeric	VES-041	VES-1-01	P1-T062	674394.70500	5636233.44000
Plot 1	xeric	VES-042	VES-1-01	P1-T062	674394.74700	5636233.49600
Plot 1	xeric	VES-043	VES-1-01	P1-T062	674395.18000	5636233.46800
Plot 1	xeric	VES-044	VES-1-01	P1-T081	674395.94772	5636237.16364
Plot 1	xeric	VES-045	VES-1-01	P1-T042	674387.89736	5636236.68655
Plot 1	xeric	VES-046	VES-1-01	P1-T079	674389.47834	5636237.40177
Plot 1	xeric	VES-047	VES-1-01	P1-T079	674389.09738	5636237.57108
Plot 1	xeric	VES-048	VES-1-01	P1-T037	674387.93160	5636238.32946
Plot 1	xeric	VES-049	VES-1-01	P1-T041	674387.96788	5636236.95789
Plot 1	xeric	VES-050	VES-1-01	P1-T041	674389.23671	5636237.57990
Plot 1	xeric	VES-051	VES-1-01	P1-T036	674389.15540	5636236.55350
Plot 1	xeric	VES-052	VES-1-01	P1-U003	674388.18878	5636237.72800
Plot 1	xeric	VES-053	VES-1-01	P1-T041	674388.34120	5636236.50040
Plot 1	xeric	VES-054	VES-1-01	P1-T041	674388.34120	5636236.50040
Plot 1	xeric	VES-055	VES-1-01	P1-T079	674388.34120	5636236.50040
Plot 1	xeric	VES-056	VES-1-01	P1-T041	674388.34120	5636236.50040
Plot 1	xeric	VES-057	VES-1-01	P1-T041	674388.42319	5636235.32149
Plot 1	xeric	VES-058	VES-1-01	P1-T035	674388.37730	5636236.69890
Plot 1	xeric	VES-059	VES-1-01	P1-T038	674389.47608	5636236.88797
Plot 1	xeric	VES-060	VES-1-01	P1-T041	674388.38447	5636236.38307
Plot 1	xeric	VES-061	VES-1-01	P1-T041	674388.30075	5636236.38403
Plot 1	xeric	VES-062	VES-1-01	P1-T041	674388.17700	5636236.73750
Plot 1	xeric	VES-063	VES-1-01	P1-T041	674388.17700	5636236.73750
Plot 1	xeric	VES-064	VES-1-01	P1-T038	674388.17700	5636236.73750
Plot 1	xeric	VES-065	VES-1-01	P1-T041	674388.50813	5636235.11326
Plot 1	xeric	VES-066	VES-1-02	P1-T048	674388.41300	5636232.54600
Plot 1	xeric	VES-067	VES-1-03	P1-T041	674387.72500	5636234.11200
Plot 1	xeric	VES-068	VES-1-03	P1-T048	674387.89700	5636232.58800
Plot 1	xeric	VES-069	VES-1-04	P1-T019	674396.06100	5636240.68700
Plot 2	xeric	VES-070	VES-2-01	P2-T011	674371.97400	5636398.42700
Plot 2	xeric	VES-071	VES-2-01	P2-T009	674372.14700	5636398.62200
Plot 2	xeric	VES-072	VES-2-01	P2-T010	674372.27100	5636397.47100
Plot 2	xeric	VES-073	VES-2-01	P2-T058	674371.13600	5636399.59700
Plot 2	xeric	VES-074	VES-2-01	P2-T009	674371.18800	5636399.67000
Plot 2	xeric	VES-075	VES-2-01	P2-T009	674371.86700	5636399.86900
Plot 2	xeric	VES-076	VES-2-01	P2-T006	674370.50600	5636398.24300
Plot 2	xeric	VES-077	VES-2-01	P2-T010	674371.41000	5636395.08100
Plot 2	xeric	VES-078	VES-2-01	P2-T009	674370.71300	5636396.21600
Plot 2	xeric	VES-079	VES-2-01	P2-T008	674370.00100	5636398.83600
Plot 2	xeric	VES-080	VES-2-01	P2-T009	674370.49100	5636398.79300
Plot 2	xeric	VES-081	VES-2-01	P2-T008	674370.20700	5636398.88400
Plot 2	xeric	VES-082	VES-2-01	P2-T010	674376.35400	5636397.11200
Plot 2	xeric	VES-083	VES-2-01	P2-T007	674375.87900	5636398.49600
Plot 2	xeric	VES-084	VES-2-01	P2-T011	674376.17400	5636399.72600
Plot 2	xeric	VES-085	VES-2-01	P2-T012	674376.10500	5636399.99200
Plot 2	xeric	VES-086	VES-2-01	P2-T010	674375.12700	5636395.57400
Plot 2	xeric	VES-087	VES-2-01	P2-T011	674375.60800	5636394.42400
Plot 2	xeric	VES-088	VES-2-01	P2-T010	674373.07700	5636395.95500
Plot 2	xeric	VES-089	VES-2-01	P2-T011	674374.24800	5636395.74600
Plot 2	xeric	VES-090	VES-2-01	P2-T012	674372.95700	5636397.18600
Plot 2	xeric	VES-091	VES-2-01	P2-T012	674372.92700	5636397.33600
Plot 2	xeric	VES-092	VES-2-01	P2-T008	674372.76500	5636395.79200
Plot 2	xeric	VES-093	VES-2-01	P2-T012	674373.53200	5636399.24600
Plot 2	xeric	VES-094	VES-2-01	P2-T008	674372.14000	5636399.79700
Plot 2	xeric	VES-095	VES-2-01	P2-T009	674372.24147	5636398.70094
Plot 2	xeric	VES-096	VES-2-01	P2-T004	674369.80500	5636399.78300
Plot 2	xeric	VES-097	VES-2-01	P2-T048	674369.65935	5636399.74559
Plot 2	xeric	VES-098	VES-2-02	P2-T009	674370.64182	5636399.52688
Plot 3	xeric	VES-099	VES-3-01	P3-T002	674382.94200	5636516.89600
Plot 3	xeric	VES-100	VES-3-01	P3-T001	674383.20594	5636518.32382
Plot 3	xeric	VES-101	VES-3-01	P3-T001	674382.38800	5636515.05400
Plot 3	xeric	VES-102	VES-3-01	P3-T001	674383.07200	5636514.36200
Plot 3	xeric	VES-103	VES-3-01	P3-T001	674382.41000	5636514.23300
Plot 3	xeric	VES-104	VES-3-01	P3-T017	674382.29900	5636514.29900
Plot 3	xeric	VES-105	VES-3-01	P3-T001	674380.37900	5636517.69500
Plot 3	xeric	VES-106	VES-3-01	P3-T001	674379.60600	5636517.33500
Plot 3	xeric	VES-107	VES-3-01	P3-T003	674383.67300	5636514.72300
Plot 3	xeric	VES-108	VES-3-01	P3-T048	674383.68500	5636514.40700
Plot 3	xeric	VES-109	VES-3-01	P3-T014	674383.55400	5636514.99800
Plot 3	xeric	VES-110	VES-3-01	P3-T001	674382.47994	5636517.96329
Plot 3	xeric	VES-111	VES-3-01	P3-T019	674375.61100	5636518.39500
Plot 3	xeric	VES-112	VES-3-01	P3-T013	674375.90800	5636517.81500
Plot 3	xeric	VES-113	VES-3-01	P3-T013	674375.91400	5636518.40900
Plot 3	xeric	VES-114	VES-3-01	P3-T013	674376.13124	5636514.81082
Plot 3	xeric	VES-115	VES-3-01	P3-T074	674380.21741	5636517.84500
Plot 3	xeric	VES-116	VES-3-01	P3-T014	674375.95500	5636517.37600
Plot 3	xeric	VES-117	VES-3-01	P3-T013	674375.36600	5636518.39500
Plot 3	xeric	VES-118	VES-3-01	P3-T013	674375.20600	5636518.34800
Plot 3	xeric	VES-119	VES-3-01	P3-T013	674373.95300	5636517.12900
Plot 3	xeric	VES-120	VES-3-01	P3-T052	674373.74000	5636517.31300
Plot 3	xeric	VES-121	VES-3-01	P3-T013	674378.64700	5636515.16700
Plot 3	xeric	VES-122	VES-3-01	P3-T041	674378.80500	5636514.98800
Plot 3	xeric	VES-123	VES-3-01	P3-T025	674376.70000	5636516.79400
Plot 3	xeric	VES-124	VES-3-01	P3-T026	674377.05600	5636516.71700
Plot 3	xeric	VES-125	VES-3-01	P3-T019	674375.52700	5636516.62900
Plot 3	xeric	VES-126	VES-3-01	P3-T014	674375.36200	5636515.01100
Plot 3	xeric	VES-127	VES-3-01	P3-T017	674382.16300	5636508.72900
Plot 3	xeric	VES-128	VES-3-01	P3-T016	674383.46082	5636509.56159
Plot 3	xeric	VES-129	VES-3-01	P3-T019	674379.04400	5636509.95100
Plot 3	xeric	VES-130	VES-3-01	P3-T049	674380.65500	5636510.82900
Plot 3	xeric	VES-131	VES-3-01	P3-T020	674375.15900	5636508.63500
Plot 3	xeric	VES-132	VES-3-01	P3-T020	674375.13000	5636508.63500
Plot 3	xeric	VES-133	VES-3-01	P3-T025	674376.61500	5636516.64700
